Philosopher: 0, Time: 3 ms, running
Philosopher: 0, Time: 97 ms, no neighbors are eating - entering eating state. Will eat for 21 ms
Philosopher: 2, Time: 112 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 119 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 119 ms, picked up fork 3
Philosopher: 1, Time: 119 ms, picked up fork 1
Philosopher: 1, Time: 121 ms, picked up fork 0
Philosopher: 3, Time: 120 ms, picked up fork 2
Philosopher: 1, Time: 121 ms, no neighbors are eating - entering eating state. Will eat for 13 ms
Philosopher: 3, Time: 121 ms, no neighbors are eating - entering eating state. Will eat for 24 ms
Philosopher: 2, Time: 122 ms, entering hungry state.
Philosopher: 2, Time: 122 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 129 ms, entering hungry state.
Philosopher: 0, Time: 129 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 134 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 145 ms, entering hungry state.
Philosopher: 1, Time: 145 ms, picked up fork 1
Philosopher: 1, Time: 145 ms, picked up fork 0
Philosopher: 1, Time: 145 ms, no neighbors are eating - entering eating state. Will eat for 32 ms
Philosopher: 3, Time: 146 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 156 ms, entering hungry state.
Philosopher: 3, Time: 156 ms, picked up fork 3
Philosopher: 3, Time: 156 ms, picked up fork 2
Philosopher: 3, Time: 156 ms, no neighbors are eating - entering eating state. Will eat for 29 ms
Philosopher: 1, Time: 178 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 186 ms, picked up fork 2
Philosopher: 2, Time: 186 ms, picked up fork 1
Philosopher: 2, Time: 186 ms, no neighbors are eating - entering eating state. Will eat for 35 ms
Philosopher: 0, Time: 186 ms, picked up fork 0
Philosopher: 3, Time: 186 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 187 ms, picked up fork 3
Philosopher: 1, Time: 188 ms, entering hungry state.
Philosopher: 1, Time: 188 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 197 ms, no neighbors are eating - entering eating state. Will eat for 16 ms
Philosopher: 3, Time: 198 ms, entering hungry state.
Philosopher: 3, Time: 198 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 213 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 222 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 222 ms, picked up fork 1
Philosopher: 1, Time: 223 ms, picked up fork 0
Philosopher: 1, Time: 223 ms, no neighbors are eating - entering eating state. Will eat for 12 ms
Philosopher: 0, Time: 224 ms, entering hungry state.
Philosopher: 0, Time: 224 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 222 ms, picked up fork 3
Philosopher: 3, Time: 225 ms, picked up fork 2
Philosopher: 3, Time: 225 ms, no neighbors are eating - entering eating state. Will eat for 25 ms
Philosopher: 2, Time: 232 ms, entering hungry state.
Philosopher: 2, Time: 232 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 240 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 251 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 252 ms, entering hungry state.
Philosopher: 1, Time: 252 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 251 ms, picked up fork 2
Philosopher: 2, Time: 256 ms, picked up fork 1
Philosopher: 2, Time: 256 ms, no neighbors are eating - entering eating state. Will eat for 21 ms
Philosopher: 3, Time: 262 ms, entering hungry state.
Philosopher: 3, Time: 262 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 263 ms, picked up fork 0
Philosopher: 0, Time: 263 ms, picked up fork 3
Philosopher: 0, Time: 263 ms, no neighbors are eating - entering eating state. Will eat for 26 ms
Philosopher: 2, Time: 282 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 289 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 290 ms, picked up fork 1
Philosopher: 1, Time: 290 ms, picked up fork 0
Philosopher: 1, Time: 290 ms, no neighbors are eating - entering eating state. Will eat for 19 ms
Philosopher: 2, Time: 294 ms, entering hungry state.
Philosopher: 2, Time: 294 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 295 ms, picked up fork 3
Philosopher: 3, Time: 295 ms, picked up fork 2
Philosopher: 3, Time: 295 ms, no neighbors are eating - entering eating state. Will eat for 13 ms
Philosopher: 0, Time: 300 ms, entering hungry state.
Philosopher: 0, Time: 300 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 310 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 316 ms, picked up fork 0
Philosopher: 0, Time: 316 ms, picked up fork 3
Philosopher: 0, Time: 317 ms, no neighbors are eating - entering eating state. Will eat for 24 ms
Philosopher: 1, Time: 316 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 316 ms, picked up fork 2
Philosopher: 2, Time: 317 ms, picked up fork 1
Philosopher: 2, Time: 318 ms, no neighbors are eating - entering eating state. Will eat for 19 ms
Philosopher: 3, Time: 320 ms, entering hungry state.
Philosopher: 3, Time: 320 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 327 ms, entering hungry state.
Philosopher: 1, Time: 328 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 337 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 341 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 341 ms, picked up fork 3
Philosopher: 3, Time: 341 ms, picked up fork 2
Philosopher: 3, Time: 341 ms, no neighbors are eating - entering eating state. Will eat for 22 ms
Philosopher: 1, Time: 345 ms, picked up fork 1
Philosopher: 1, Time: 345 ms, picked up fork 0
Philosopher: 1, Time: 345 ms, no neighbors are eating - entering eating state. Will eat for 17 ms
Philosopher: 2, Time: 347 ms, entering hungry state.
Philosopher: 2, Time: 347 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 351 ms, entering hungry state.
Philosopher: 0, Time: 351 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 362 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 364 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 364 ms, picked up fork 0
Philosopher: 0, Time: 364 ms, picked up fork 3
Philosopher: 2, Time: 364 ms, picked up fork 2
Philosopher: 0, Time: 365 ms, no neighbors are eating - entering eating state. Will eat for 13 ms
Philosopher: 2, Time: 365 ms, picked up fork 1
Philosopher: 2, Time: 365 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 1, Time: 373 ms, entering hungry state.
Philosopher: 1, Time: 373 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 374 ms, entering hungry state.
Philosopher: 3, Time: 374 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 378 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 385 ms, picked up fork 3
Philosopher: 2, Time: 385 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 386 ms, picked up fork 2
Philosopher: 1, Time: 385 ms, picked up fork 1
Philosopher: 1, Time: 386 ms, picked up fork 0
Philosopher: 3, Time: 386 ms, no neighbors are eating - entering eating state. Will eat for 39 ms
Philosopher: 1, Time: 386 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 0, Time: 388 ms, entering hungry state.
Philosopher: 0, Time: 388 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 396 ms, entering hungry state.
Philosopher: 2, Time: 396 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 406 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 416 ms, entering hungry state.
Philosopher: 1, Time: 417 ms, picked up fork 1
Philosopher: 1, Time: 417 ms, picked up fork 0
Philosopher: 1, Time: 417 ms, no neighbors are eating - entering eating state. Will eat for 21 ms
Philosopher: 3, Time: 425 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 435 ms, entering hungry state.
Philosopher: 3, Time: 435 ms, picked up fork 3
Philosopher: 3, Time: 435 ms, picked up fork 2
Philosopher: 3, Time: 436 ms, no neighbors are eating - entering eating state. Will eat for 29 ms
Philosopher: 1, Time: 438 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 448 ms, entering hungry state.
Philosopher: 1, Time: 448 ms, picked up fork 1
Philosopher: 1, Time: 448 ms, picked up fork 0
Philosopher: 1, Time: 448 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 3, Time: 465 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 469 ms, picked up fork 2
Philosopher: 2, Time: 469 ms, picked up fork 1
Philosopher: 1, Time: 469 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 469 ms, picked up fork 0
Philosopher: 0, Time: 469 ms, picked up fork 3
Philosopher: 0, Time: 469 ms, no neighbors are eating - entering eating state. Will eat for 37 ms
Philosopher: 2, Time: 469 ms, no neighbors are eating - entering eating state. Will eat for 27 ms
Philosopher: 3, Time: 475 ms, entering hungry state.
Philosopher: 3, Time: 475 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 479 ms, entering hungry state.
Philosopher: 1, Time: 479 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 498 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 506 ms, picked up fork 3
Philosopher: 3, Time: 507 ms, picked up fork 2
Philosopher: 3, Time: 507 ms, no neighbors are eating - entering eating state. Will eat for 26 ms
Philosopher: 0, Time: 506 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 506 ms, picked up fork 1
Philosopher: 1, Time: 507 ms, picked up fork 0
Philosopher: 1, Time: 507 ms, no neighbors are eating - entering eating state. Will eat for 38 ms
Philosopher: 2, Time: 508 ms, entering hungry state.
Philosopher: 2, Time: 508 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 517 ms, entering hungry state.
Philosopher: 0, Time: 517 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 533 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 543 ms, entering hungry state.
Philosopher: 3, Time: 544 ms, picked up fork 3
Philosopher: 3, Time: 544 ms, picked up fork 2
Philosopher: 3, Time: 544 ms, no neighbors are eating - entering eating state. Will eat for 15 ms
Philosopher: 1, Time: 546 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 556 ms, entering hungry state.
Philosopher: 1, Time: 556 ms, picked up fork 1
Philosopher: 1, Time: 556 ms, picked up fork 0
Philosopher: 1, Time: 556 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 3, Time: 559 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 569 ms, entering hungry state.
Philosopher: 3, Time: 569 ms, picked up fork 3
Philosopher: 3, Time: 569 ms, picked up fork 2
Philosopher: 3, Time: 570 ms, no neighbors are eating - entering eating state. Will eat for 28 ms
Philosopher: 1, Time: 577 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 587 ms, entering hungry state.
Philosopher: 1, Time: 587 ms, picked up fork 1
Philosopher: 1, Time: 587 ms, picked up fork 0
Philosopher: 1, Time: 587 ms, no neighbors are eating - entering eating state. Will eat for 19 ms
Philosopher: 3, Time: 598 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 606 ms, picked up fork 2
Philosopher: 2, Time: 606 ms, picked up fork 1
Philosopher: 1, Time: 606 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 606 ms, picked up fork 0
Philosopher: 0, Time: 607 ms, picked up fork 3
Philosopher: 2, Time: 607 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 0, Time: 607 ms, no neighbors are eating - entering eating state. Will eat for 25 ms
Philosopher: 3, Time: 608 ms, entering hungry state.
Philosopher: 3, Time: 608 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 617 ms, entering hungry state.
Philosopher: 1, Time: 617 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 627 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 632 ms, picked up fork 1
Philosopher: 1, Time: 632 ms, picked up fork 0
Philosopher: 1, Time: 632 ms, no neighbors are eating - entering eating state. Will eat for 15 ms
Philosopher: 0, Time: 632 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 632 ms, picked up fork 3
Philosopher: 3, Time: 633 ms, picked up fork 2
Philosopher: 3, Time: 633 ms, no neighbors are eating - entering eating state. Will eat for 19 ms
Philosopher: 2, Time: 637 ms, entering hungry state.
Philosopher: 2, Time: 638 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 643 ms, entering hungry state.
Philosopher: 0, Time: 643 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 647 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 652 ms, picked up fork 0
Philosopher: 0, Time: 652 ms, picked up fork 3
Philosopher: 0, Time: 652 ms, no neighbors are eating - entering eating state. Will eat for 34 ms
Philosopher: 3, Time: 652 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 652 ms, picked up fork 2
Philosopher: 2, Time: 652 ms, picked up fork 1
Philosopher: 2, Time: 652 ms, no neighbors are eating - entering eating state. Will eat for 10 ms
Philosopher: 1, Time: 658 ms, entering hungry state.
Philosopher: 1, Time: 658 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 662 ms, entering hungry state.
Philosopher: 3, Time: 662 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 663 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 674 ms, entering hungry state.
Philosopher: 2, Time: 674 ms, picked up fork 2
Philosopher: 2, Time: 674 ms, picked up fork 1
Philosopher: 2, Time: 674 ms, no neighbors are eating - entering eating state. Will eat for 23 ms
Philosopher: 0, Time: 686 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 696 ms, entering hungry state.
Philosopher: 0, Time: 696 ms, picked up fork 0
Philosopher: 0, Time: 697 ms, picked up fork 3
Philosopher: 0, Time: 697 ms, no neighbors are eating - entering eating state. Will eat for 28 ms
Philosopher: 2, Time: 698 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 708 ms, entering hungry state.
Philosopher: 2, Time: 708 ms, picked up fork 2
Philosopher: 2, Time: 709 ms, picked up fork 1
Philosopher: 2, Time: 709 ms, no neighbors are eating - entering eating state. Will eat for 14 ms
Philosopher: 2, Time: 723 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 725 ms, picked up fork 1
Philosopher: 3, Time: 725 ms, picked up fork 3
Philosopher: 3, Time: 725 ms, picked up fork 2
Philosopher: 0, Time: 725 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 725 ms, no neighbors are eating - entering eating state. Will eat for 38 ms
Philosopher: 1, Time: 725 ms, picked up fork 0
Philosopher: 1, Time: 725 ms, no neighbors are eating - entering eating state. Will eat for 14 ms
Philosopher: 2, Time: 733 ms, entering hungry state.
Philosopher: 2, Time: 733 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 735 ms, entering hungry state.
Philosopher: 0, Time: 735 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 740 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 751 ms, entering hungry state.
Philosopher: 1, Time: 751 ms, picked up fork 1
Philosopher: 1, Time: 751 ms, picked up fork 0
Philosopher: 1, Time: 751 ms, no neighbors are eating - entering eating state. Will eat for 25 ms
Philosopher: 3, Time: 763 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 774 ms, entering hungry state.
Philosopher: 3, Time: 774 ms, picked up fork 3
Philosopher: 3, Time: 774 ms, picked up fork 2
Philosopher: 3, Time: 774 ms, no neighbors are eating - entering eating state. Will eat for 15 ms
Philosopher: 1, Time: 776 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 786 ms, entering hungry state.
Philosopher: 1, Time: 786 ms, picked up fork 1
Philosopher: 1, Time: 786 ms, picked up fork 0
Philosopher: 1, Time: 787 ms, no neighbors are eating - entering eating state. Will eat for 15 ms
Philosopher: 3, Time: 790 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 800 ms, entering hungry state.
Philosopher: 3, Time: 800 ms, picked up fork 3
Philosopher: 3, Time: 800 ms, picked up fork 2
Philosopher: 3, Time: 800 ms, no neighbors are eating - entering eating state. Will eat for 14 ms
Philosopher: 1, Time: 802 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 812 ms, entering hungry state.
Philosopher: 1, Time: 813 ms, picked up fork 1
Philosopher: 1, Time: 813 ms, picked up fork 0
Philosopher: 1, Time: 813 ms, no neighbors are eating - entering eating state. Will eat for 30 ms
Philosopher: 3, Time: 815 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 825 ms, entering hungry state.
Philosopher: 3, Time: 825 ms, picked up fork 3
Philosopher: 3, Time: 825 ms, picked up fork 2
Philosopher: 3, Time: 825 ms, no neighbors are eating - entering eating state. Will eat for 25 ms
Philosopher: 1, Time: 843 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 850 ms, picked up fork 0
Philosopher: 0, Time: 850 ms, picked up fork 3
Philosopher: 3, Time: 850 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 850 ms, picked up fork 2
Philosopher: 2, Time: 851 ms, picked up fork 1
Philosopher: 2, Time: 851 ms, no neighbors are eating - entering eating state. Will eat for 39 ms
Philosopher: 0, Time: 850 ms, no neighbors are eating - entering eating state. Will eat for 11 ms
Philosopher: 1, Time: 853 ms, entering hungry state.
Philosopher: 1, Time: 853 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 861 ms, entering hungry state.
Philosopher: 3, Time: 861 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 862 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 872 ms, entering hungry state.
Philosopher: 0, Time: 872 ms, picked up fork 0
Philosopher: 0, Time: 872 ms, picked up fork 3
Philosopher: 0, Time: 873 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 2, Time: 890 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 893 ms, picked up fork 1
Philosopher: 1, Time: 893 ms, picked up fork 0
Philosopher: 1, Time: 893 ms, no neighbors are eating - entering eating state. Will eat for 16 ms
Philosopher: 0, Time: 893 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 893 ms, picked up fork 3
Philosopher: 3, Time: 894 ms, picked up fork 2
Philosopher: 3, Time: 894 ms, no neighbors are eating - entering eating state. Will eat for 29 ms
Philosopher: 2, Time: 900 ms, entering hungry state.
Philosopher: 2, Time: 900 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 904 ms, entering hungry state.
Philosopher: 0, Time: 904 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 909 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 920 ms, entering hungry state.
Philosopher: 1, Time: 920 ms, picked up fork 1
Philosopher: 1, Time: 920 ms, picked up fork 0
Philosopher: 1, Time: 920 ms, no neighbors are eating - entering eating state. Will eat for 19 ms
Philosopher: 3, Time: 923 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 933 ms, entering hungry state.
Philosopher: 3, Time: 933 ms, picked up fork 3
Philosopher: 3, Time: 933 ms, picked up fork 2
Philosopher: 3, Time: 933 ms, no neighbors are eating - entering eating state. Will eat for 11 ms
Philosopher: 1, Time: 939 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 944 ms, picked up fork 0
Philosopher: 0, Time: 945 ms, picked up fork 3
Philosopher: 3, Time: 944 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 944 ms, picked up fork 2
Philosopher: 2, Time: 945 ms, picked up fork 1
Philosopher: 2, Time: 945 ms, no neighbors are eating - entering eating state. Will eat for 28 ms
Philosopher: 0, Time: 945 ms, no neighbors are eating - entering eating state. Will eat for 19 ms
Philosopher: 1, Time: 950 ms, entering hungry state.
Philosopher: 1, Time: 950 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 955 ms, entering hungry state.
Philosopher: 3, Time: 955 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 964 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 973 ms, picked up fork 3
Philosopher: 3, Time: 973 ms, picked up fork 2
Philosopher: 3, Time: 973 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 2, Time: 973 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 973 ms, picked up fork 1
Philosopher: 1, Time: 974 ms, picked up fork 0
Philosopher: 1, Time: 974 ms, no neighbors are eating - entering eating state. Will eat for 17 ms
Philosopher: 0, Time: 974 ms, entering hungry state.
Philosopher: 0, Time: 974 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 984 ms, entering hungry state.
Philosopher: 2, Time: 984 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 991 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 994 ms, picked up fork 2
Philosopher: 2, Time: 994 ms, picked up fork 1
Philosopher: 2, Time: 994 ms, no neighbors are eating - entering eating state. Will eat for 11 ms
Philosopher: 0, Time: 994 ms, picked up fork 0
Philosopher: 0, Time: 994 ms, picked up fork 3
Philosopher: 3, Time: 994 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 994 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 1, Time: 1001 ms, entering hungry state.
Philosopher: 1, Time: 1001 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 1004 ms, entering hungry state.
Philosopher: 3, Time: 1004 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 1006 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 1014 ms, picked up fork 3
Philosopher: 3, Time: 1014 ms, picked up fork 2
Philosopher: 0, Time: 1014 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 1014 ms, picked up fork 1
Philosopher: 1, Time: 1014 ms, picked up fork 0
Philosopher: 3, Time: 1014 ms, no neighbors are eating - entering eating state. Will eat for 33 ms
Philosopher: 1, Time: 1015 ms, no neighbors are eating - entering eating state. Will eat for 27 ms
Philosopher: 2, Time: 1016 ms, entering hungry state.
Philosopher: 2, Time: 1016 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 1025 ms, entering hungry state.
Philosopher: 0, Time: 1025 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 1042 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 1048 ms, picked up fork 0
Philosopher: 0, Time: 1048 ms, picked up fork 3
Philosopher: 3, Time: 1048 ms, entering think state. Will think for 10 ms
Philosopher: 2, Time: 1048 ms, picked up fork 2
Philosopher: 2, Time: 1048 ms, picked up fork 1
Philosopher: 0, Time: 1048 ms, no neighbors are eating - entering eating state. Will eat for 18 ms
Philosopher: 2, Time: 1048 ms, no neighbors are eating - entering eating state. Will eat for 20 ms
Philosopher: 1, Time: 1052 ms, entering hungry state.
Philosopher: 1, Time: 1052 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 1058 ms, entering hungry state.
Philosopher: 3, Time: 1058 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 1066 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 1068 ms, picked up fork 1
Philosopher: 1, Time: 1068 ms, picked up fork 0
Philosopher: 2, Time: 1068 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 1068 ms, picked up fork 3
Philosopher: 3, Time: 1070 ms, picked up fork 2
Philosopher: 3, Time: 1070 ms, no neighbors are eating - entering eating state. Will eat for 16 ms
Philosopher: 1, Time: 1068 ms, no neighbors are eating - entering eating state. Will eat for 32 ms
Philosopher: 0, Time: 1076 ms, entering hungry state.
Philosopher: 0, Time: 1076 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 1079 ms, entering hungry state.
Philosopher: 2, Time: 1079 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 1086 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 1097 ms, entering hungry state.
Philosopher: 3, Time: 1097 ms, picked up fork 3
Philosopher: 3, Time: 1097 ms, picked up fork 2
Philosopher: 3, Time: 1098 ms, no neighbors are eating - entering eating state. Will eat for 30 ms
Philosopher: 1, Time: 1102 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 1112 ms, entering hungry state.
Philosopher: 1, Time: 1112 ms, picked up fork 1
